Disease,Description
GERD (Mild),GERD ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
GERD (Severe),GERD ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
GERD (Stage 1),GERD ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
GERD,"ଗ୍ୟାଷ୍ଟ୍ରୋସୋଫେଜ୍ ରିଫ୍ଲକ୍ସ ରୋଗ ବା GERD ହେଉଛି ଏକ ହଜମ ପ୍ରକ୍ରିୟା ଯାହା ନିମ୍ନ ଏସୋଫେଜାଲ୍ ସ୍ପିଙ୍କ୍ଟର୍ (LES) କୁ ପ୍ରଭାବିତ କରେ, ଏସୋଫ୍ୟାଗସ୍ ଏବଂ ପେଟ ମଧ୍ୟରେ ମାଂସପେଶୀର ରିଙ୍ଗ | ଗର୍ଭବତୀ ମହିଳାଙ୍କ ସମେତ ଅନେକ ଲୋକ GERD ଦ୍ heart ାରା ହୃଦଘାତ କିମ୍ବା ଏସିଡ୍ ଅଦୃଶ୍ୟତାର ଶିକାର ହୁଅନ୍ତି |"
Gallstones (Acute),ଗାଲଷ୍ଟୋନ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gallstones (Chronic),ଗାଲଷ୍ଟୋନ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gallstones (Mild),ଗାଲଷ୍ଟୋନ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gallstones (Severe),ଗାଲଷ୍ଟୋନ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gallstones (Stage 1),ଗାଲଷ୍ଟୋନ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gallstones,"ହଠାତ୍_ପେନ୍_ଇନ୍_ପର୍_ ରାଇଟ୍_ବଡୋମେନ୍, ଆକସ୍ମିକ_ପେନ୍_ସେଣ୍ଟର୍_ବଡୋମେନ୍, ବ୍ୟାକ୍_ପେନ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Gastroenteritis (Acute),ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gastroenteritis (Chronic),ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gastroenteritis (Mild),ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gastroenteritis (Severe),ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gastroenteritis (Stage 1),ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gastroenteritis,"ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସ୍ ହେଉଛି ହଜମ ପ୍ରକ୍ରିୟାର ଏକ ପ୍ରଦାହ, ବିଶେଷକରି ପେଟ ଏବଂ ବଡ଼ ଏବଂ ଛୋଟ ଅନ୍ତନଳୀ | ଭାଇରାଲ୍ ଏବଂ ବ୍ୟାକ୍ଟେରିଆ ଗ୍ୟାଷ୍ଟ୍ରୋଏଣ୍ଟେରାଇଟିସ୍ ହେଉଛି ଅନ୍ତନଳୀ ସଂକ୍ରମଣ, arr ାଡ଼ା, ପେଟ କଷ୍ଟ, ବାନ୍ତି ଏବଂ ବାନ୍ତିର ଲକ୍ଷଣ ସହିତ ଜଡିତ |"
Glaucoma (Acute),ଗ୍ଲୁକୋମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Glaucoma (Chronic),ଗ୍ଲୁକୋମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Glaucoma (Mild),ଗ୍ଲୁକୋମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Glaucoma (Severe),ଗ୍ଲୁକୋମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Glaucoma (Stage 1),ଗ୍ଲୁକୋମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Glaucoma,"ପ୍ୟାଚି_ବ୍ଲାଇଣ୍ଡ_ ସ୍ପଟ୍ସ, ଟନେଲ_ଭିଜନ, ଭୟଙ୍କର_ ମୁଣ୍ଡବିନ୍ଧା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Gout (Acute),ଗୁଟ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gout (Chronic),ଗୁଟ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gout (Mild),ଗୁଟ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gout (Severe),ଗୁଟ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gout (Stage 1),ଗୁଟ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Gout,"ଏକ ଡାକ୍ତରୀ ଅବସ୍ଥା ତୀବ୍ର_ଜୋଣ୍ଟ_ପେନ୍, ଲଙ୍ଗରିଙ୍ଗ୍_ ଡିସକମ୍ଫୋର୍ଟ୍, ପ୍ରଦାହ_ ଏବଂ_ଡ୍ରେନ୍ସ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ |"
Heart attack (Acute),ହୃଦଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Heart attack (Chronic),ହୃଦଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Heart attack (Mild),ହୃଦଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Heart attack (Severe),ହୃଦଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Heart attack (Stage 1),ହୃଦଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Heart attack,"ରକ୍ତ ଯୋଗାଣ ନଷ୍ଟ ହେତୁ ହୃଦୟ ମାଂସପେଶୀର ମୃତ୍ୟୁ | ରକ୍ତ ଯୋଗାଣର କ୍ଷତି ସାଧାରଣତ a ଏକ କରୋନାରୀ ଧମନୀର ସମ୍ପୂର୍ଣ୍ଣ ଅବରୋଧ ଦ୍ caused ାରା ହୋଇଥାଏ, ଯାହା ହୃଦୟ ମାଂସପେଶୀକୁ ରକ୍ତ ଯୋଗାଉଥିବା ଧମନୀ ମଧ୍ୟରୁ ଗୋଟିଏ |"
Heat Stroke,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ହିଟ୍ ଷ୍ଟ୍ରୋକ ଠିକ୍ ସମୟରେ ଯତ୍ନ ଆବଶ୍ୟକ କରେ |
Hepatitis B (Acute),ହେପାଟାଇଟିସ୍ ବି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଆବଶ୍ୟକ କରେ |
Hepatitis B (Chronic),ହେପାଟାଇଟିସ୍ ବି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଆବଶ୍ୟକ କରେ |
Hepatitis B (Mild),ହେପାଟାଇଟିସ୍ ବି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଆବଶ୍ୟକ କରେ |
Hepatitis B (Severe),ହେପାଟାଇଟିସ୍ ବି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଆବଶ୍ୟକ କରେ |
Hepatitis B (Stage 1),ହେପାଟାଇଟିସ୍ ବି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଆବଶ୍ୟକ କରେ |
Hepatitis B,"ହେପାଟାଇଟିସ୍ ବି ହେଉଛି ତୁମର ଯକୃତର ସଂକ୍ରମଣ | ଏହା ଅଙ୍ଗର ଦାଗ, ଯକୃତ ବିଫଳତା ଏବଂ କର୍କଟ ରୋଗର କାରଣ ହୋଇପାରେ | ଏହାର ଚିକିତ୍ସା କରା ନ ଗଲେ ଏହା ସାଂଘାତିକ ହୋଇପାରେ। ଯେତେବେଳେ ଲୋକମାନେ ହେପାଟାଇଟିସ୍ ବି ଜୀବାଣୁ ରକ୍ତ, ଖୋଲା ଘା ’କିମ୍ବା ଶରୀରର ତରଳ ପଦାର୍ଥର ସଂସ୍ପର୍ଶରେ ଆସନ୍ତି ସେତେବେଳେ ଏହା ବ୍ୟାପିଥାଏ |"
Hepatitis C (Acute),ହେପାଟାଇଟିସ୍ ସି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis C (Chronic),ହେପାଟାଇଟିସ୍ ସି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis C (Mild),ହେପାଟାଇଟିସ୍ ସି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis C (Severe),ହେପାଟାଇଟିସ୍ ସି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis C (Stage 1),ହେପାଟାଇଟିସ୍ ସି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis C,"ହେପାଟାଇଟିସ୍ ସି ଜୀବାଣୁ (HCV) ହେତୁ ଯକୃତର ପ୍ରଦାହ, ଯାହା ସାଧାରଣତ blood ରକ୍ତଦାନ (ବିରଳ), ହେମୋଡାୟଲିସିସ୍ ଏବଂ ଛୁଞ୍ଚି ବାଡି ମାଧ୍ୟମରେ ବ୍ୟାପିଥାଏ | ହେପାଟାଇଟିସ୍ ସି ଯକୃତରେ ହେଉଥିବା କ୍ଷତି ସିରୋସିସ୍ ଏବଂ ଏହାର ଜଟିଳତା ତଥା କର୍କଟ ରୋଗର କାରଣ ହୋଇପାରେ |"
Hepatitis D (Acute),ହେପାଟାଇଟିସ୍ ଡି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis D (Chronic),ହେପାଟାଇଟିସ୍ ଡି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis D (Mild),ହେପାଟାଇଟିସ୍ ଡି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis D (Severe),ହେପାଟାଇଟିସ୍ ଡି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis D (Stage 1),ହେପାଟାଇଟିସ୍ ଡି ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis D,"ହେପାଟାଇଟିସ୍ ଡି, ଯାହାକୁ ହେପାଟାଇଟିସ୍ ଡେଲଟା ଜୀବାଣୁ ମଧ୍ୟ କୁହାଯାଏ, ଏହା ଏକ ସଂକ୍ରମଣ ଯାହା ଯକୃତକୁ ପ୍ରଦାହ କରିଥାଏ | ଏହି ଫୁଲା ଯକୃତର କାର୍ଯ୍ୟକୁ ଦୁର୍ବଳ କରିପାରେ ଏବଂ ଯକୃତର ଦାଗ ଏବଂ କର୍କଟ ସମେତ ଦୀର୍ଘକାଳୀନ ଯକୃତ ସମସ୍ୟା ସୃଷ୍ଟି କରିପାରେ | ହେପାଟାଇଟିସ୍ ଡି ଜୀବାଣୁ (HDV) ଦ୍ The ାରା ଏହି ଅବସ୍ଥା ହୋଇଥାଏ।"
Hepatitis E (Acute),ହେପାଟାଇଟିସ୍ ଇ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis E (Chronic),ହେପାଟାଇଟିସ୍ ଇ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis E (Mild),ହେପାଟାଇଟିସ୍ ଇ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis E (Severe),ହେପାଟାଇଟିସ୍ ଇ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis E (Stage 1),ହେପାଟାଇଟିସ୍ ଇ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର ଚିକିତ୍ସା ଧ୍ୟାନ ଆବଶ୍ୟକ କରେ |
Hepatitis E,ହେପାଟାଇଟିସ୍ ଇ ଜୀବାଣୁ (HEV) ସଂକ୍ରମଣ ଦ୍ liver ାରା ଯକୃତ ପ୍ରଦାହର ଏକ ବିରଳ ରୂପ | ଏହା ସଂକ୍ରମିତ ବ୍ୟକ୍ତିଙ୍କ ଦ୍ led ାରା ପରିଚାଳିତ ଖାଦ୍ୟ କିମ୍ବା ପାନୀୟ ମାଧ୍ୟମରେ କିମ୍ବା ସଂକ୍ରମିତ ଜଳ ଯୋଗାଣ ମାଧ୍ୟମରେ ଯେଉଁଠାରେ ଫେକାଲ୍ ପଦାର୍ଥ ପାଣି ଭିତରକୁ ଯାଇପାରେ | ହେପାଟାଇଟିସ୍ ଇ କ୍ରନିକ୍ ଯକୃତ ରୋଗ ସୃଷ୍ଟି କରେ ନାହିଁ |
Hernia (Acute),ହର୍ନିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hernia (Chronic),ହର୍ନିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hernia (Mild),ହର୍ନିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hernia (Severe),ହର୍ନିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hernia (Stage 1),ହର୍ନିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hernia,"Bulge_or_lump, pain_or_discomfort, ଦୁର୍ବଳତା_ କିମ୍ବା ଚାପ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Hypertension  (Acute),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension  (Chronic),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension  (Mild),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension  (Severe),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension  (Stage 1),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (Acute),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (Chronic),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP) (Acute),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP) (Chronic),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP) (Mild),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP) (Severe),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP) (Stage 1),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (High BP),"ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା ଗୁରୁତର_ ମୁଣ୍ଡବିନ୍ଧା, ନାକ, ରକ୍ତସ୍ରାବ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ |"
Hypertension (Mild),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (Severe),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension (Stage 1),ଉଚ୍ଚ ରକ୍ତଚାପର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypertension ,"ଉଚ୍ଚ ରକ୍ତଚାପ (HBP) ଭାବରେ ମଧ୍ୟ ଉଚ୍ଚ ରକ୍ତଚାପ (HTN କିମ୍ବା HT) କୁହାଯାଏ, ଏହା ଏକ ଦୀର୍ଘକାଳୀନ ଚିକିତ୍ସା ଅବସ୍ଥା ଯେଉଁଥିରେ ଧମନୀରେ ରକ୍ତଚାପ କ୍ରମାଗତ ଭାବରେ ବୃଦ୍ଧି ପାଇଥାଏ | ଉଚ୍ଚ ରକ୍ତଚାପ ସାଧାରଣତ symptoms ଲକ୍ଷଣ ସୃଷ୍ଟି କରେ ନାହିଁ |"
Hypertension,"ଉଚ୍ଚ ରକ୍ତଚାପ (HBP) ଭାବରେ ମଧ୍ୟ ଉଚ୍ଚ ରକ୍ତଚାପ (HTN କିମ୍ବା HT) କୁହାଯାଏ, ଏହା ଏକ ଦୀର୍ଘକାଳୀନ ଚିକିତ୍ସା ଅବସ୍ଥା ଯେଉଁଥିରେ ଧମନୀରେ ରକ୍ତଚାପ କ୍ରମାଗତ ଭାବରେ ବୃଦ୍ଧି ପାଇଥାଏ | ଉଚ୍ଚ ରକ୍ତଚାପ ସାଧାରଣତ symptoms ଲକ୍ଷଣ ସୃଷ୍ଟି କରେ ନାହିଁ |"
Hyperthyroidism (Acute),ହାଇପରଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hyperthyroidism (Chronic),ହାଇପରଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hyperthyroidism (Mild),ହାଇପରଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hyperthyroidism (Severe),ହାଇପରଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hyperthyroidism (Stage 1),ହାଇପରଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hyperthyroidism,"ହାଇପରଥାଇରଏଡିଜିମ୍ (ଅତ୍ୟଧିକ ଥାଇରଏଡ୍) ଯେତେବେଳେ ଆପଣଙ୍କର ଥାଇରଏଡ୍ ଗ୍ରନ୍ଥି ଥର୍ମୋସିନ୍ ହରମୋନ୍ ଉତ୍ପାଦନ କରେ | ହାଇପରଥାଇରଏଡିଜିମ୍ ଆପଣଙ୍କ ଶରୀରର ମେଟାବୋଲିଜିମ୍ କୁ ତ୍ୱରାନ୍ୱିତ କରିପାରେ, ଯାହା ଅଜାଣତରେ ଓଜନ ହ୍ରାସ କରିଥାଏ ଏବଂ ଦ୍ରୁତ କିମ୍ବା ଅନିୟମିତ ହୃଦସ୍ପନ୍ଦନ ସୃଷ୍ଟି କରିଥାଏ |"
Hypoglycemia (Acute),ହାଇପୋଗ୍ଲାଇସେମିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypoglycemia (Chronic),ହାଇପୋଗ୍ଲାଇସେମିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
