Disease,Description
Jaundice (Mild),மஞ்சள் காமாலையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Jaundice (Severe),மஞ்சள் காமாலையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Jaundice (Stage 1),மஞ்சள் காமாலையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Jaundice,"பித்த நிறமி பிலிரூபின் அசாதாரணமாக உயர் இரத்த அளவுகளால் தோல் மற்றும் ஸ்க்லெரா (கண்களின் வெள்ளை) மஞ்சள் கறை. மஞ்சள் நிறம் மற்ற திசுக்கள் மற்றும் உடல் திரவங்களுக்கு பரவுகிறது. மஞ்சள் காமாலை ஒரு காலத்தில் ""மோர்பஸ் ரெஜியஸ்"" (அரச நோய்) என்று அழைக்கப்பட்டது, ஏனெனில் ஒரு மன்னரின் தொடுதலால் மட்டுமே அதை குணப்படுத்த முடியும்."
Kidney Stones (Acute),சிறுநீரகக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Kidney Stones (Chronic),சிறுநீரகக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Kidney Stones (Mild),சிறுநீரகக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Kidney Stones (Severe),சிறுநீரகக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Kidney Stones (Stage 1),சிறுநீரகக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Kidney Stones,"பக்கவாட்டில்_முதுகில்_கடுமையான_வலி, சிறுநீர் கழிக்கும் போது_வலி, இளஞ்சிவப்பு_அல்லது_பழுப்பு_சிறுநீர் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Leptospirosis,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. லெப்டோஸ்பிரோசிஸ் சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Liver Cirrhosis (Acute),கல்லீரல் சிரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Liver Cirrhosis (Chronic),கல்லீரல் சிரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Liver Cirrhosis (Mild),கல்லீரல் சிரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Liver Cirrhosis (Severe),கல்லீரல் சிரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Liver Cirrhosis (Stage 1),கல்லீரல் சிரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Liver Cirrhosis,"சோர்வு, எளிதில்_இரத்தப்போக்கு_அல்லது_சிராய்ப்பு,_இழப்பு_பசியின்மை ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Lyme Disease (Acute),லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Lyme Disease (Chronic),லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Lyme Disease (Mild),லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Lyme Disease (Severe),லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Lyme Disease (Stage 1),லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Lyme Disease,லைம் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Madras Eye (Conjunctivitis),தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. மெட்ராஸ் கண் (கான்ஜுன்க்டிவிடிஸ்) சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Malaria (Acute),மலேரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Malaria (Chronic),மலேரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Malaria (Mild),மலேரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Malaria (Severe),மலேரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Malaria (Stage 1),மலேரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Malaria,"பிளாஸ்மோடியம் குடும்பத்தைச் சேர்ந்த புரோட்டோசோவான் ஒட்டுண்ணிகளால் ஏற்படும் ஒரு தொற்று நோய், இது அனோபிலிஸ் கொசு கடித்தால் அல்லது அசுத்தமான ஊசி அல்லது இரத்தமாற்றம் மூலம் பரவுகிறது. ஃபால்சிபாரம் மலேரியா மிகவும் கொடிய வகை."
Measles (Acute),தட்டம்மையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Measles (Chronic),தட்டம்மையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Measles (Mild),தட்டம்மையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Measles (Severe),தட்டம்மையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Measles (Stage 1),தட்டம்மையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Measles,"காய்ச்சல், வறட்டு_இருமல், மூக்கு ஒழுகுதல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Melanoma (Acute),மெலனோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Melanoma (Chronic),மெலனோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Melanoma (Mild),மெலனோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Melanoma (Severe),மெலனோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Melanoma (Stage 1),மெலனோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Melanoma,"அசாதாரண_மச்சங்கள், இருக்கும்_மச்சத்தில்_மாற்றம், கருமையான_புண்கள் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Migraine (Acute),ஒற்றைத் தலைவலியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Migraine (Chronic),ஒற்றைத் தலைவலியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Migraine (Mild),ஒற்றைத் தலைவலியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Migraine (Severe),ஒற்றைத் தலைவலியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Migraine (Stage 1),ஒற்றைத் தலைவலியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Migraine,"ஒற்றைத் தலைவலி கடுமையான துடிக்கும் வலியை அல்லது துடிக்கும் உணர்வை ஏற்படுத்தும், பொதுவாக தலையின் ஒரு பக்கத்தில். இது பெரும்பாலும் குமட்டல், வாந்தி மற்றும் ஒளி மற்றும் ஒலிக்கு அதிக உணர்திறன் ஆகியவற்றுடன் இருக்கும். ஒற்றைத் தலைவலி தாக்குதல்கள் மணிநேரம் முதல் நாட்கள் வரை நீடிக்கும், மேலும் வலி மிகவும் கடுமையானதாக இருக்கலாம், அது உங்கள் அன்றாட நடவடிக்கைகளில் தலையிடும்."
Mumps (Acute),சளியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Mumps (Chronic),சளியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Mumps (Mild),சளியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Mumps (Severe),சளியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Mumps (Stage 1),சளியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Mumps,"வீக்கம்_உமிழ்நீர்_சுரப்பிகள், மெல்லும்போது_வலி, காய்ச்சல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Osteoarthristis (Acute),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoarthristis (Chronic),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoarthristis (Mild),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoarthristis (Severe),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoarthristis (Stage 1),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoarthristis,"கீல்வாதத்தின் மிகவும் பொதுவான வடிவம் கீல்வாதம் ஆகும், இது உலகெங்கிலும் மில்லியன் கணக்கான மக்களை பாதிக்கிறது. உங்கள் எலும்புகளின் முனைகளை குஷன் செய்யும் பாதுகாப்பு குருத்தெலும்பு காலப்போக்கில் தேய்ந்து போகும்போது இது நிகழ்கிறது."
Osteoporosis (Acute),ஆஸ்டியோபோரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoporosis (Chronic),ஆஸ்டியோபோரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoporosis (Mild),ஆஸ்டியோபோரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoporosis (Severe),ஆஸ்டியோபோரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoporosis (Stage 1),ஆஸ்டியோபோரோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Osteoporosis,"முதுகுவலி, உயரம்_இழப்பு, குனிந்த_ தோரணை ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Otitis Media (Ear Infection),"காது_வலி, தொந்தரவு_தூக்கம்,_கேட்புத் தொந்தரவு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Pancreatitis (Acute),கணைய அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pancreatitis (Chronic),கணைய அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pancreatitis (Mild),கணைய அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pancreatitis (Severe),கணைய அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pancreatitis (Stage 1),கணைய அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pancreatitis,"மேல்_வயிற்று_வலி, அடிவயிற்று_வலி_முதுகில்_வெளியேறுகிறது, சாப்பிட்ட பிறகு_வயிற்று_வலி_அதிகமாகிறது."
Paralysis (brain hemorrhage) (Acute),பக்கவாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Paralysis (brain hemorrhage) (Chronic),பக்கவாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Paralysis (brain hemorrhage) (Mild),பக்கவாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Paralysis (brain hemorrhage) (Severe),பக்கவாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Paralysis (brain hemorrhage) (Stage 1),பக்கவாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Paralysis (brain hemorrhage),"மூளையின் திசுக்களில் இரத்தம் திடீரென வெடித்து, உங்கள் மூளைக்கு சேதம் விளைவிக்கும் போது மூளைக்குள் இரத்தக்கசிவு (ICH) ஆகும். அறிகுறிகள் பொதுவாக ICH இன் போது திடீரென்று தோன்றும். அவற்றில் தலைவலி, பலவீனம், குழப்பம் மற்றும் பக்கவாதம் ஆகியவை அடங்கும், குறிப்பாக உங்கள் உடலின் ஒரு பக்கத்தில்."
Peptic ulcer diseae (Acute),பெப்டிக் அல்சர் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Peptic ulcer diseae (Chronic),பெப்டிக் அல்சர் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Peptic ulcer diseae (Mild),பெப்டிக் அல்சர் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Peptic ulcer diseae (Severe),பெப்டிக் அல்சர் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Peptic ulcer diseae (Stage 1),பெப்டிக் அல்சர் நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Peptic ulcer diseae,"பெப்டிக் அல்சர் நோய் (PUD) என்பது வயிற்றின் உள் புறணி, சிறுகுடலின் முதல் பகுதி அல்லது சில சமயங்களில் கீழ் உணவுக்குழாயில் ஏற்படும் உடைப்பு ஆகும். வயிற்றில் ஏற்படும் புண் இரைப்பை புண் என்று அழைக்கப்படுகிறது, அதே சமயம் குடலின் முதல் பகுதியில் ஒரு டூடெனனல் அல்சர் உள்ளது."
Pneumonia (Acute),நிமோனியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pneumonia (Chronic),நிமோனியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pneumonia (Mild),நிமோனியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pneumonia (Severe),நிமோனியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pneumonia (Stage 1),நிமோனியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Pneumonia,"நிமோனியா என்பது ஒன்று அல்லது இரண்டு நுரையீரலில் ஏற்படும் தொற்று ஆகும். பாக்டீரியா, வைரஸ்கள் மற்றும் பூஞ்சைகள் இதற்கு காரணமாகின்றன. தொற்று உங்கள் நுரையீரலில் உள்ள காற்றுப் பைகளில் வீக்கத்தை ஏற்படுத்துகிறது, அவை அல்வியோலி என்று அழைக்கப்படுகின்றன. அல்வியோலி திரவம் அல்லது சீழ் கொண்டு நிரப்புகிறது, சுவாசிக்க கடினமாக உள்ளது."
Psoriasis (Acute),தடிப்புத் தோல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Psoriasis (Chronic),தடிப்புத் தோல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Psoriasis (Mild),தடிப்புத் தோல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Psoriasis (Severe),தடிப்புத் தோல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Psoriasis (Stage 1),தடிப்புத் தோல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Psoriasis,"தடிப்புத் தோல் அழற்சி என்பது ஒரு பொதுவான தோல் நோயாகும், இது வெள்ளி செதில்களால் மூடப்பட்ட அடர்த்தியான, சிவப்பு, சமதள திட்டுகளை உருவாக்குகிறது. அவை எங்கும் தோன்றலாம், ஆனால் பெரும்பாலானவை உச்சந்தலையில், முழங்கைகள், முழங்கால்கள் மற்றும் கீழ் முதுகில் தோன்றும். சொரியாசிஸ் ஒருவரிடமிருந்து நபருக்கு பரவாது. இது சில சமயங்களில் ஒரே குடும்பத்தில் உள்ளவர்களுக்கும் நடக்கும்."
Rabies (Acute),ரேபிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rabies (Chronic),ரேபிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rabies (Mild),ரேபிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rabies (Severe),ரேபிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rabies (Stage 1),ரேபிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rabies,"காய்ச்சல், தலைவலி, குமட்டல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Ringworm (Acute),ரிங்வோர்மின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ringworm (Chronic),ரிங்வோர்மின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ringworm (Mild),ரிங்வோர்மின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ringworm (Severe),ரிங்வோர்மின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ringworm (Stage 1),ரிங்வோர்மின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ringworm,"செதில்_வளைய வடிவ_பகுதி, அரிப்பு, சிவப்பு_செதில்_விரிசல்_தோல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Rosacea (Acute),ரோசாசியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rosacea (Chronic),ரோசாசியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rosacea (Mild),ரோசாசியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rosacea (Severe),ரோசாசியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rosacea (Stage 1),ரோசாசியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rosacea,"முகம்_சிவப்பு, வீக்கம்_சிவப்பு_புடைப்புகள், கண்_பிரச்சனைகள் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Rubella (Acute),ரூபெல்லாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rubella (Chronic),ரூபெல்லாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rubella (Mild),ரூபெல்லாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rubella (Severe),ரூபெல்லாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rubella (Stage 1),ரூபெல்லாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Rubella,"லேசான_காய்ச்சல், தலைவலி, அடைப்பு_அல்லது_மூக்கு ஒழுகுதல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Scabies (Acute),சிரங்கு ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Scabies (Chronic),சிரங்கு ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Scabies (Mild),சிரங்கு ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Scabies (Severe),சிரங்கு ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Scabies (Stage 1),சிரங்கு ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Scabies,"அரிப்பு, மெல்லிய_ஒழுங்கற்ற_பர்ரோ_டிராக்ஸ், கொப்புளங்கள் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Scrub Typhus,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. ஸ்க்ரப் டைபஸுக்கு சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Sinusitis,"தடித்த_மஞ்சள்_அல்லது_பச்சை_வெளியேற்றம், நாசி_தடுப்பு, வலி_மென்மை_வீக்கம்_கண்கள்_கன்னங்கள் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Stroke (Acute),ஸ்ட்ரோக்கின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Stroke (Chronic),ஸ்ட்ரோக்கின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Stroke (Mild),ஸ்ட்ரோக்கின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Stroke (Severe),ஸ்ட்ரோக்கின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Stroke (Stage 1),ஸ்ட்ரோக்கின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Stroke,"திடீர்_ உணர்வின்மை, குழப்பம், பிரச்சனை_பேசுதல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Tetanus (Acute),டெட்டனஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tetanus (Chronic),டெட்டனஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tetanus (Mild),டெட்டனஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tetanus (Severe),டெட்டனஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tetanus (Stage 1),டெட்டனஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tetanus,"தாடை_பிடிப்பு, தசை_பிடிப்பு, வலி_தசை_விறைப்பு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Tonsillitis (Acute),டான்சில்லிடிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tonsillitis (Chronic),டான்சில்லிடிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tonsillitis (Mild),டான்சில்லிடிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tonsillitis (Severe),டான்சில்லிடிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tonsillitis (Stage 1),டான்சில்லிடிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tonsillitis,"சிவப்பு_வீங்கிய_டான்சில்ஸ், வெள்ளை_அல்லது_மஞ்சள்_பூச்சு_டான்சில்ஸ், தொண்டை புண் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Tuberculosis (Acute),காசநோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tuberculosis (Chronic),காசநோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tuberculosis (Mild),காசநோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tuberculosis (Severe),காசநோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tuberculosis (Stage 1),காசநோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Tuberculosis,"காசநோய் (TB) என்பது பொதுவாக மைக்கோபாக்டீரியம் காசநோய் (MTB) பாக்டீரியாவால் ஏற்படும் ஒரு தொற்று நோயாகும். காசநோய் பொதுவாக நுரையீரலைப் பாதிக்கிறது, ஆனால் உடலின் மற்ற பகுதிகளையும் பாதிக்கலாம். பெரும்பாலான நோய்த்தொற்றுகள் எந்த அறிகுறிகளையும் காட்டாது, இந்த வழக்கில் இது மறைந்த காசநோய் என்று அழைக்கப்படுகிறது."
Typhoid (Acute),டைபாய்டின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Typhoid (Chronic),டைபாய்டின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Typhoid (Mild),டைபாய்டின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Typhoid (Severe),டைபாய்டின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Typhoid (Stage 1),டைபாய்டின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Typhoid,"சால்மோனெல்லா டைஃபி என்ற பாக்டீரியாவால் ஏற்படும் காய்ச்சலால் வகைப்படுத்தப்படும் கடுமையான நோய். காய்ச்சல், தலைவலி, மலச்சிக்கல், உடல்சோர்வு, குளிர் மற்றும் தசை வலி ஆகியவற்றுடன் டைபாய்டு காய்ச்சல் ஒரு நயவஞ்சகமான தொடக்கத்தைக் கொண்டுள்ளது. வயிற்றுப்போக்கு அரிதானது, வாந்தி பொதுவாக கடுமையாக இருக்காது."
Urinary Tract Infection (UTI) (Acute),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary Tract Infection (UTI) (Chronic),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary Tract Infection (UTI) (Mild),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
