Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Idiopathic Eye Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Ear Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Muscle Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Muscle Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Ear Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Stomach Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Kidney Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Stomach Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Ear Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Eye Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Liver Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Thyroid Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Intestine Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Lung Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Blood Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Liver Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Intestine Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Lung Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Bone Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Blood Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Nerve Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Skin Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Bone Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Intestine Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Blood Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Stomach Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Blood Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Brain Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Ear Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Ear Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Muscle Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Liver Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Thyroid Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Thyroid Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Intestine Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Intestine Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Liver Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Lung Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Bone Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Bone Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Throat Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Liver Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Blood Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Kidney Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Kidney Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Brain Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Throat Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Thyroid Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Blood Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Joint Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Thyroid Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Ear Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Throat Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Muscle Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Muscle Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Muscle Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Bone Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Ear Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Throat Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Skin Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Stomach Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Brain Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Joint Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Blood Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Muscle Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Heart Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Ear Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Stomach Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Joint Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Joint Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Thyroid Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Eye Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Intestine Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Muscle Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Muscle Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Stomach Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Blood Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Kidney Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Heart Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Muscle Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Muscle Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Brain Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Intestine Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Blood Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Thyroid Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Brain Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Brain Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Muscle Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Intestine Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Heart Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Throat Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Thyroid Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Brain Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Heart Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Bone Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Joint Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Intestine Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Stomach Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Lung Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Eye Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Skin Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Heart Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Lung Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Skin Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Ear Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Intestine Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Throat Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Kidney Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Throat Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Stomach Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Heart Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Eye Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Ear Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Skin Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Blood Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Lung Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Liver Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Eye Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Thyroid Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Heart Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Heart Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Blood Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Joint Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Stomach Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Thyroid Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Skin Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Nerve Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Heart Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Nerve Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Lung Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Thyroid Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Liver Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Lung Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Bone Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Lung Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Skin Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Liver Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Blood Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Intestine Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Ear Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Ear Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Muscle Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Stomach Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Ear Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Heart Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Liver Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Heart Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Liver Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Joint Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Brain Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Brain Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Nerve Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Throat Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Stomach Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Ear Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Lung Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Ear Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Eye Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Brain Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Joint Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Nerve Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Blood Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Heart Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Muscle Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Intestine Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Intestine Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Bone Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Lung Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Lung Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Stomach Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Nerve Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Ear Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Bone Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Stomach Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Stomach Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Muscle Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Throat Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Brain Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Nerve Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Thyroid Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Muscle Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Kidney Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Heart Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Kidney Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Blood Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Thyroid Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Intestine Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Brain Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Stomach Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Skin Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Thyroid Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Throat Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Stomach Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Nerve Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Brain Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Brain Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Thyroid Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Lung Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Bone Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Kidney Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Skin Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Brain Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Bone Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Skin Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Intestine Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Joint Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Intestine Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Nerve Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Throat Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Blood Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Stomach Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Liver Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Bone Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Skin Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Thyroid Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Skin Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Ear Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Muscle Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Heart Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Skin Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Intestine Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Muscle Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Lung Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Joint Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Blood Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Nerve Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Nerve Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Stomach Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Intestine Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Joint Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Joint Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Muscle Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Throat Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Lung Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
