Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Mild Nerve Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Nerve Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Brain Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Bone Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Ear Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Kidney Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Intestine Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Thyroid Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Bone Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Nerve Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Ear Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Bone Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Blood Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Muscle Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Muscle Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Nerve Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Heart Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Liver Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Throat Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Stomach Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Heart Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Eye Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Throat Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Stomach Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Bone Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Intestine Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Joint Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Eye Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Ear Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Muscle Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Muscle Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Ear Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Stomach Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Kidney Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Stomach Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Ear Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Eye Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Liver Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Thyroid Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Intestine Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Lung Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Blood Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Liver Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Intestine Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Lung Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Bone Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Blood Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Nerve Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Skin Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Bone Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Intestine Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Blood Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Stomach Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Blood Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Brain Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Ear Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Ear Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Muscle Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Liver Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Thyroid Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Thyroid Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Intestine Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Intestine Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Liver Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Lung Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Bone Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Bone Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Throat Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Liver Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Blood Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Kidney Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Kidney Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Brain Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Throat Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Thyroid Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Blood Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Joint Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Thyroid Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Ear Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Throat Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Muscle Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Muscle Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Muscle Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Bone Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Ear Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Throat Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Skin Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Stomach Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Brain Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Joint Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Blood Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Muscle Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Heart Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Ear Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Stomach Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Joint Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Joint Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Thyroid Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Eye Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Intestine Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Muscle Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Muscle Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Stomach Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Blood Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Kidney Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Heart Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Muscle Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Muscle Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Brain Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Intestine Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Blood Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Thyroid Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Brain Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Brain Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Muscle Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Intestine Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Heart Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
