Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Viral Intestine Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Lung Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Joint Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Blood Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Nerve Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Nerve Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Stomach Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Intestine Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Joint Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Joint Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Muscle Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Throat Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Lung Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Blood Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Thyroid Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Blood Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Ear Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Blood Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Heart Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Muscle Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Stomach Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Ear Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Liver Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Lung Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Stomach Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Brain Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Bone Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Heart Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Nerve Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Skin Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Joint Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Skin Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Muscle Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Eye Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Brain Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Nerve Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Throat Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Eye Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Eye Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Liver Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Skin Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Nerve Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Skin Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Intestine Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Muscle Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Muscle Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Blood Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Throat Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Heart Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Bone Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Skin Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Skin Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Stomach Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Ear Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Throat Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Heart Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Skin Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Heart Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Intestine Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Muscle Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Bone Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Eye Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Joint Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Rubella (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रूबेला प्रोटोकॉल का पालन करें,आराम
Hepatitis B (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस बी प्रोटोकॉल का पालन करें,आराम
Whooping Cough (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,काली खांसी प्रोटोकॉल का पालन करें,आराम
Insomnia (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,अनिद्रा प्रोटोकॉल का पालन करें,आराम
Hypothyroidism (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हाइपोथायरायडिज्म प्रोटोकॉल का पालन करें,आराम
Urinary tract infection (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मूत्र पथ संक्रमण प्रोटोकॉल का पालन करें,आराम
Chronic cholestasis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,क्रोनिक कोलेस्टेसिस प्रोटोकॉल का पालन करें,आराम
Measles (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,खसरा प्रोटोकॉल का पालन करें,आराम
Heart attack (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हार्ट अटैक प्रोटोकॉल का पालन करें,आराम
Fungal infection (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फंगल संक्रमण प्रोटोकॉल का पालन करें,आराम
Hernia (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हर्निया प्रोटोकॉल का पालन करें,आराम
Tetanus (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,टेटनस प्रोटोकॉल का पालन करें,आराम
Ebola (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,इबोला प्रोटोकॉल का पालन करें,आराम
Gallstones (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,गैल्स्टोन प्रोटोकॉल का पालन करें,आराम
Liver Cirrhosis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,लिवर सिरोसिस प्रोटोकॉल का पालन करें,आराम
Migraine (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,माइग्रेन प्रोटोकॉल का पालन करें,आराम
Psoriasis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,सोरायसिस प्रोटोकॉल का पालन करें,आराम
Varicose veins (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,वैरिकोज़ वेन्स प्रोटोकॉल का पालन करें,आराम
AIDS (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,एड्स प्रोटोकॉल का पालन करें,आराम
Dengue (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डेंगू प्रोटोकॉल का पालन करें,आराम
Hepatitis D (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस डी प्रोटोकॉल का पालन करें,आराम
Depression (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डिप्रेशन प्रोटोकॉल का पालन करें,आराम
Eczema (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,एक्जिमा प्रोटोकॉल का पालन करें,आराम
Rosacea (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रोसैसिया प्रोटोकॉल का पालन करें,आराम
Fungal infection (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फंगल संक्रमण प्रोटोकॉल का पालन करें,आराम
Alcoholic hepatitis (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,अल्कोहलिक हेपेटाइटिस प्रोटोकॉल का पालन करें,आराम
Cholera (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हैजा प्रोटोकॉल का पालन करें,आराम
Tetanus,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,टेटनस प्रोटोकॉल का पालन करें,आराम
Ringworm (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,दाद प्रोटोकॉल का पालन करें,आराम
Jaundice (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,पीलिया प्रोटोकॉल का पालन करें,आराम
Rabies,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रेबीज प्रोटोकॉल का पालन करें,आराम
Cervical spondylosis (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,सर्वाइकल स्पोंडिलोसिस प्रोटोकॉल का पालन करें,आराम
Bronchial Asthma (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ब्रोन्कियल अस्थमा प्रोटोकॉल का पालन करें,आराम
Gastroenteritis (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,गैस्ट्रोएंटेराइटिस प्रोटोकॉल का पालन करें,आराम
Depression (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डिप्रेशन प्रोटोकॉल का पालन करें,आराम
Hepatitis B (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस बी प्रोटोकॉल का पालन करें,आराम
COVID-19 (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,COVID-19 प्रोटोकॉल का पालन करें,आराम
Zika Virus (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,जीका वायरस प्रोटोकॉल का पालन करें,आराम
Arthritis (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,गठिया प्रोटोकॉल का पालन करें,आराम
hepatitis A (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस ए प्रोटोकॉल का पालन करें,आराम
Diabetes  (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मधुमेह प्रोटोकॉल का पालन करें,आराम
Hypertension (High BP) (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,उच्च रक्तचाप प्रोटोकॉल का पालन करें,आराम
Zika Virus (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,जीका वायरस प्रोटोकॉल का पालन करें,आराम
(vertigo) Paroymsal  Positional Vertigo (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,प्रोटोकॉल का पालन करें,आराम
Pancreatitis (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,अग्नाशयशोथ प्रोटोकॉल का पालन करें,आराम
Depression (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डिप्रेशन प्रोटोकॉल का पालन करें,आराम
Peptic ulcer diseae (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,पेप्टिक अल्सर रोग प्रोटोकॉल का पालन करें,आराम
Urinary tract infection (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मूत्र पथ संक्रमण प्रोटोकॉल का पालन करें,आराम
Hypertension  (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,उच्च रक्तचाप प्रोटोकॉल का पालन करें,आराम
Typhoid (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,टाइफाइड प्रोटोकॉल का पालन करें,आराम
Cervical spondylosis (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,सर्वाइकल स्पोंडिलोसिस प्रोटोकॉल का पालन करें,आराम
Ringworm (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,दाद प्रोटोकॉल का पालन करें,आराम
Malaria (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मलेरिया प्रोटोकॉल का पालन करें,आराम
Appendicitis (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,अपेंडिसाइटिस प्रोटोकॉल का पालन करें,आराम
Conjunctivitis (Pink Eye) (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,कंजंक्टिवाइटिस प्रोटोकॉल का पालन करें,आराम
Eczema (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,एक्जिमा प्रोटोकॉल का पालन करें,आराम
Fibromyalgia (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फाइब्रोमायल्जिया प्रोटोकॉल का पालन करें,आराम
Bronchial Asthma (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ब्रोन्कियल अस्थमा प्रोटोकॉल का पालन करें,आराम
Rabies (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रेबीज प्रोटोकॉल का पालन करें,आराम
Impetigo (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,इम्पेटिगो प्रोटोकॉल का पालन करें,आराम
Hypertension  (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,उच्च रक्तचाप प्रोटोकॉल का पालन करें,आराम
Lyme Disease (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,लाइम रोग प्रोटोकॉल का पालन करें,आराम
Fungal infection (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फंगल संक्रमण प्रोटोकॉल का पालन करें,आराम
Typhoid (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,टाइफाइड प्रोटोकॉल का पालन करें,आराम
Lyme Disease (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,लाइम रोग प्रोटोकॉल का पालन करें,आराम
Anxiety Disorder (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,चिंता विकार प्रोटोकॉल का पालन करें,आराम
Jaundice (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,पीलिया प्रोटोकॉल का पालन करें,आराम
Hyperthyroidism (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हाइपरथायरायडिज्म प्रोटोकॉल का पालन करें,आराम
Stroke (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,स्ट्रोक प्रोटोकॉल का पालन करें,आराम
Influenza (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,इन्फ्लुएंजा प्रोटोकॉल का पालन करें,आराम
Hypoglycemia (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हाइपोग्लाइसीमिया प्रोटोकॉल का पालन करें,आराम
Lyme Disease (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,लाइम रोग प्रोटोकॉल का पालन करें,आराम
Osteoarthristis (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ऑस्टियोआर्थराइटिस प्रोटोकॉल का पालन करें,आराम
Fibromyalgia (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फाइब्रोमायल्जिया प्रोटोकॉल का पालन करें,आराम
Hernia,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हर्निया प्रोटोकॉल का पालन करें,आराम
Common Cold (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,सामान्य शीत प्रोटोकॉल का पालन करें,आराम
Varicose veins (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,वैरिकोज़ वेन्स प्रोटोकॉल का पालन करें,आराम
Kidney Stones (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,किडनी स्टोन्स प्रोटोकॉल का पालन करें,आराम
hepatitis A (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस ए प्रोटोकॉल का पालन करें,आराम
Diphtheria,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डिप्थीरिया प्रोटोकॉल का पालन करें,आराम
Gastroenteritis (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,गैस्ट्रोएंटेराइटिस प्रोटोकॉल का पालन करें,आराम
Varicose veins (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,वैरिकोज़ वेन्स प्रोटोकॉल का पालन करें,आराम
Paralysis (brain hemorrhage) (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,पक्षाघात प्रोटोकॉल का पालन करें,आराम
Rosacea (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रोसैसिया प्रोटोकॉल का पालन करें,आराम
Kidney Stones,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,किडनी स्टोन्स प्रोटोकॉल का पालन करें,आराम
Rabies (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,रेबीज प्रोटोकॉल का पालन करें,आराम
Varicose veins (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,वैरिकोज़ वेन्स प्रोटोकॉल का पालन करें,आराम
Mumps (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मम्प्स प्रोटोकॉल का पालन करें,आराम
Melanoma (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मेलेनोमा प्रोटोकॉल का पालन करें,आराम
Hepatitis D (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस डी प्रोटोकॉल का पालन करें,आराम
Heart attack (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हार्ट अटैक प्रोटोकॉल का पालन करें,आराम
Drug Reaction (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ड्रग रिएक्शन प्रोटोकॉल का पालन करें,आराम
Tuberculosis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,क्षय रोग प्रोटोकॉल का पालन करें,आराम
Measles (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,खसरा प्रोटोकॉल का पालन करें,आराम
Fibromyalgia,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फाइब्रोमायल्जिया प्रोटोकॉल का पालन करें,आराम
Acne (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मुँहासे प्रोटोकॉल का पालन करें,आराम
Dengue (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,डेंगू प्रोटोकॉल का पालन करें,आराम
Fungal infection (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,फंगल संक्रमण प्रोटोकॉल का पालन करें,आराम
Osteoporosis (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ऑस्टियोपोरोसिस प्रोटोकॉल का पालन करें,आराम
Peptic ulcer diseae (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,पेप्टिक अल्सर रोग प्रोटोकॉल का पालन करें,आराम
Measles (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,खसरा प्रोटोकॉल का पालन करें,आराम
Hypoglycemia (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हाइपोग्लाइसीमिया प्रोटोकॉल का पालन करें,आराम
Hypertension (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,उच्च रक्तचाप प्रोटोकॉल का पालन करें,आराम
Hepatitis B (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस बी प्रोटोकॉल का पालन करें,आराम
Diabetes  (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मधुमेह प्रोटोकॉल का पालन करें,आराम
Chronic cholestasis (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,क्रोनिक कोलेस्टेसिस प्रोटोकॉल का पालन करें,आराम
Mumps (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मम्प्स प्रोटोकॉल का पालन करें,आराम
Arthritis (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,गठिया प्रोटोकॉल का पालन करें,आराम
GERD (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,जीईआरडी प्रोटोकॉल का पालन करें,आराम
Eczema,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,एक्जिमा प्रोटोकॉल का पालन करें,आराम
Whooping Cough (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,काली खांसी प्रोटोकॉल का पालन करें,आराम
Eczema (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,एक्जिमा प्रोटोकॉल का पालन करें,आराम
Tonsillitis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,टॉन्सिलिटिस प्रोटोकॉल का पालन करें,आराम
Hepatitis D (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,हेपेटाइटिस डी प्रोटोकॉल का पालन करें,आराम
Measles (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,खसरा प्रोटोकॉल का पालन करें,आराम
Lyme Disease (Stage 1),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,लाइम रोग प्रोटोकॉल का पालन करें,आराम
Sinusitis,विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,साइनसाइटिस प्रोटोकॉल का पालन करें,आराम
Diabetes  (Chronic),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,मधुमेह प्रोटोकॉल का पालन करें,आराम
Anxiety Disorder (Acute),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,चिंता विकार प्रोटोकॉल का पालन करें,आराम
Osteoporosis (Severe),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,ऑस्टियोपोरोसिस प्रोटोकॉल का पालन करें,आराम
Insomnia (Mild),विशेषज्ञ से परामर्श लें,महत्वपूर्ण चीज़ों की निगरानी करें,अनिद्रा प्रोटोकॉल का पालन करें,आराम
